_unit_id,class,image_url,Option_1,Option_2,Option_3
660800040,"[GGEL] Chromatography, Gel",http://fast.hevs.ch/images/subfigures/1471-2199-10-87-1-4.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800041,"[GGEL] Chromatography, Gel",http://fast.hevs.ch/images/subfigures/1471-2121-11-22-2-7.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800042,"[GGEL] Chromatography, Gel",http://fast.hevs.ch/images/subfigures/1475-2867-9-27-1-5.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800043,"[GFIG] Statistical figures, graphs, charts",http://fast.hevs.ch/images/subfigures/1475-2875-9-162-2-5.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800044,[DVOR] Other organs,http://fast.hevs.ch/images/subfigures/1471-2148-8-48-11-3.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800045,[GSYS] System overviews,http://fast.hevs.ch/images/subfigures/1471-2148-5-16-2-5.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800046,[GCHE] Chemical structure,http://fast.hevs.ch/images/subfigures/1471-2164-8-53-1-10.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800047,[DRUS] Ultrasound,http://fast.hevs.ch/images/subfigures/1471-2407-6-32-3-3.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800048,[GFLO] Flowcharts,http://fast.hevs.ch/images/subfigures/1471-2105-11-104-2-1.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800049,"[GFIG] Statistical figures, graphs, charts",http://fast.hevs.ch/images/subfigures/1479-5876-3-22-6-3.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800050,"[GFIG] Statistical figures, graphs, charts",http://fast.hevs.ch/images/subfigures/1465-9921-11-138-7-4.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800051,[GNCP] Non-clinical photos,http://fast.hevs.ch/images/subfigures/1476-7120-8-48-8-1.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800052,[DMTR] Transmission microscopy,http://fast.hevs.ch/images/subfigures/1477-3155-3-6-2-1.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800053,"[GFIG] Statistical figures, graphs, charts",http://fast.hevs.ch/images/subfigures/1742-4690-5-107-6-5.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800054,[GSYS] System overviews,http://fast.hevs.ch/images/subfigures/1752-0509-3-113-1-1.jpg,"No, wrong category","Yes, perfect classification",Compound image
660800055,"[GFIG] Statistical figures, graphs, charts",http://fast.hevs.ch/images/subfigures/1471-2407-10-314-1-4.jpg,"No, wrong category","Yes, perfect classification",Compound image
