_unit_id,chemical_name,disease_name,form_sentence,Option_1,Option_2,Option_3,,,,
770955372,"<span class=""chemical"">5-HT</span>","<span class=""disease"">psychotic disorders</span>","These animal models were considered to reflect the positive symptoms of schizophrenia, and the above evidence suggests that altered <span class=""chemical"">5-HT</span>6 receptors are involved in the pathophysiology of <span class=""disease"">psychotic disorders</span>.",yes_direct,yes_indirect,no_relation,,,,
770955373,"<span class=""chemical"">D-penicillamine</span>","<span class=""disease"">localized scleroderma</span>","Case reports of 11 patients with severe, extensive <span class=""disease"">localized scleroderma</span> who were treated with <span class=""chemical"">D-penicillamine</span> are summarized in this article.",yes_direct,yes_indirect,no_relation,,,,
770955374,"<span class=""chemical"">yohimbine</span>","<span class=""disease"">affective disorders</span>","METHOD: Six patients with either obsessive compulsive disorder, trichotillomania, anxiety, or <span class=""disease"">affective disorders</span> who suffered sexual side effects after treatment with serotonin reuptake blockers were given <span class=""chemical"">yohimbine</span> on a p.r.n. basis in an open clinical trial.",yes_direct,yes_indirect,no_relation,,,,
770955375,"<span class=""chemical"">calcium</span>","<span class=""disease"">muscle spasms</span>","While severe hypokalemia may cause muscle weakness, severe hypomagnesemia is associated with <span class=""disease"">muscle spasms</span> and tetany which cannot be corrected by potassium and <span class=""chemical"">calcium</span> supplementation alone (1,2).",yes_direct,yes_indirect,no_relation,,,,
770955376,"<span class=""chemical"">dexrazoxane</span>","<span class=""disease"">hematologic toxicity</span>","Clinical trials in patients with brain metastases combining <span class=""chemical"">dexrazoxane</span> and high doses of etoposide is ongoing with the aim of improving efficacy without aggravating <span class=""disease"">hematologic toxicity</span>.",yes_direct,yes_indirect,no_relation,,,,
770955377,"<span class=""chemical"">creatinine</span>","<span class=""disease"">hypertension</span>","We used time-to-event analysis to identify potential predictors of decrease in renal function including age, baseline ejection fraction, baseline <span class=""chemical"">creatinine</span>, low systolic blood pressure (<100 mm Hg), history of <span class=""disease"">hypertension</span>, diabetes, and use of antiplatelet, diuretic, and beta-blocker therapy.",yes_direct,yes_indirect,no_relation,,,,
770955378,"<span class=""chemical"">remifentanil</span>","<span class=""disease"">pain</span>","CONCLUSIONS: During induction of anaesthesia with TCI of propofol and <span class=""chemical"">remifentanil</span>, a significant reduction in propofol infusion <span class=""disease"">pain</span> was achieved without significant complications by prior administration of <span class=""chemical"">remifentanil</span> at a target Ce of 4 ng ml(-1).",yes_direct,yes_indirect,no_relation,,,,
770955379,"<span class=""chemical"">amisulpride</span>","<span class=""disease"">hypertensive</span>","CONCLUSIONS: As of March 24, 2005, this is the first reported case of <span class=""chemical"">amisulpride</span>- and tiapride-induced <span class=""disease"">hypertensive</span> crisis in a patient with pheochromocytoma.",yes_direct,yes_indirect,no_relation,,,,
770955380,"<span class=""chemical"">capsaicin</span>","<span class=""disease"">painful</span>","A small amount of <span class=""chemical"">capsaicin</span> was administered subcutaneously in the right forehead to evoke a burning <span class=""disease"">painful</span> sensation in the first division of the trigeminal nerve.",yes_direct,yes_indirect,no_relation,,,,
770955381,"<span class=""chemical"">daunorubicin</span>","<span class=""disease"">AIDS</span>","We report a non-randomized Phase II clinical trial to assess the efficacy and safety of liposomal <span class=""chemical"">daunorubicin</span> (DaunoXome) in the treatment of <span class=""disease"">AIDS</span> related Kaposi's sarcoma.",yes_direct,yes_indirect,no_relation,,,,
770955382,"<span class=""chemical"">adenosine</span>","<span class=""disease"">acute and chronic pain</span>","BACKGROUND: Preclinical studies of intrathecal <span class=""chemical"">adenosine</span> suggest it may be effective in the treatment of <span class=""disease"">acute and chronic pain</span> in humans, and preliminary studies in volunteers and patients with a Swedish formulation of <span class=""chemical"">adenosine</span> suggests it may be effective in hypersensitivity states but not with acute noxious stimulation.",yes_direct,yes_indirect,no_relation,,,,
770955383,"<span class=""chemical"">eserine</span>","<span class=""disease"">mydriasis</span>","On the other hand, <span class=""disease"">mydriasis</span>, tremor and clonic-tonic convulsions evoked by carbachol and <span class=""chemical"">eserine</span> were not significantly changed by calcium chloride.",yes_direct,yes_indirect,no_relation,,,,
770955384,"<span class=""chemical"">telmisartan</span>","<span class=""disease"">hypertension</span>","Results of a comparative, phase III, 12-week, multicenter, prospective, randomized, double-blind assessment of the efficacy and tolerability of a fixed-dose combination of <span class=""chemical"">telmisartan</span> and amlodipine versus amlodipine monotherapy in Indian adults with stage II <span class=""disease"">hypertension</span>.",yes_direct,yes_indirect,no_relation,,,,
770955385,"<span class=""chemical"">droperidol</span>","<span class=""disease"">drug allergies</span>","We report the case of a previously healthy 19-year-old man with no known <span class=""disease"">drug allergies</span> in whom angioedema with significant tongue swelling and protrusion developed within 10 minutes of the administration of a single IV dose of <span class=""chemical"">droperidol</span>.",yes_direct,yes_indirect,no_relation,,,,
770955386,"<span class=""chemical"">heparin</span>","<span class=""disease"">hemorrhage</span>","Clinical manifestations of this disorder include <span class=""disease"">hemorrhage</span> or, more frequently, thromboembolic events in patients receiving <span class=""chemical"">heparin</span>.",yes_direct,yes_indirect,no_relation,,,,
770955387,"<span class=""chemical"">Verapamil</span>","<span class=""disease"">AF</span>","RESULTS: <span class=""chemical"">Verapamil</span> caused <span class=""disease"">AF</span> promotion in six dogs, increasing mean duration of <span class=""disease"">AF</span> induced by burst pacing, from 8+/-4 s (mean+/-S.E.) to 95+/-39 s (P<0.01 vs. control) at a loading dose of 0.1 mg/kg and 228+/-101 s (P<0.0005 vs. control) at a dose of 0.2 mg/kg.",yes_direct,yes_indirect,no_relation,,,,
770955388,"<span class=""chemical"">dopamine</span>","<span class=""disease"">catatonia</span>","In the pinealectomized chick, pretreatment with <span class=""chemical"">dopamine</span> increased the duration of <span class=""disease"">catatonia</span> (DOC) after ketamine, but pretreatment with norepinephrine did not.",yes_direct,yes_indirect,no_relation,,,,
770955389,"<span class=""chemical"">acetaminophen</span>","<span class=""disease"">toxicity</span>","To further our understanding of the mechanism of CS cytoprotection, we examined in rats and mice the protective abilities of CS and the non-hydrolyzable ether form of CS, gamma-cholesteryloxybutyric acid, tris salt (CSE) against <span class=""chemical"">acetaminophen</span>-, adriamycin-, carbon tetrachloride-, chloroform- and galactosamine-induced <span class=""disease"">toxicity</span>.",yes_direct,yes_indirect,no_relation,,,,
770955390,"<span class=""chemical"">cyclooxygenase inhibitors</span>","<span class=""disease"">stroke</span>","Randomised clinical trials and observational studies have shown an increased risk of myocardial infarction, <span class=""disease"">stroke</span>, hypertension and heart failure during treatment with <span class=""chemical"">cyclooxygenase inhibitors</span>.",yes_direct,yes_indirect,no_relation,,,,
770955391,"<span class=""chemical"">acetylcholine</span>","<span class=""disease"">coronary artery stenosis</span>","Coronary spasm was induced by intracoronary injection of <span class=""chemical"">acetylcholine</span>, and no fixed <span class=""disease"">coronary artery stenosis</span> was documented on angiograms in all patients.",yes_direct,yes_indirect,no_relation,,,,
770955392,"<span class=""chemical"">tramadol</span>","<span class=""disease"">hallucinations</span>","Fifty-six days after initiation of the treatment the patient presented <span class=""disease"">hallucinations</span> that only stopped after the withdrawal of psycho-active drugs and <span class=""chemical"">tramadol</span>.",yes_direct,yes_indirect,no_relation,,,,
770955393,"<span class=""chemical"">Amiodarone</span>","<span class=""disease"">pneumonitis</span>","<span class=""chemical"">Amiodarone</span> is an effective antiarrhythmic agent whose utility is limited by many side-effects, the most problematic being <span class=""disease"">pneumonitis</span>.",yes_direct,yes_indirect,no_relation,,,,
770955394,"<span class=""chemical"">paroxetine</span>","<span class=""disease"">chronic pain</span>","This drug was initiated in association with <span class=""chemical"">paroxetine</span> and dosulepine hydrochloride in a tetraparetic patient with <span class=""disease"">chronic pain</span>.",yes_direct,yes_indirect,no_relation,,,,
770955395,"<span class=""chemical"">cisplatin</span>","<span class=""disease"">acute renal injury</span>","The nephroprotective effect of coenzyme Q10 was investigated in mice with <span class=""disease"">acute renal injury</span> induced by a single i.p. injection of <span class=""chemical"">cisplatin</span> (5 mg/kg).",yes_direct,yes_indirect,no_relation,,,,
770955396,"<span class=""chemical"">piperacillin</span>","<span class=""disease"">Ototoxicity</span>","<span class=""disease"">Ototoxicity</span> occurred in four (9.5%) of 42 netilmicin and <span class=""chemical"">piperacillin</span> and in 12 (22%) of 54 tobramycin and <span class=""chemical"">piperacillin</span>-treated patients.",yes_direct,yes_indirect,no_relation,,,,
770955397,"<span class=""chemical"">PPA</span>","<span class=""disease"">hypertensive</span>","These results suggest that <span class=""chemical"">PPA</span>/caffeine can lead to cerebral hemorrhage in previously <span class=""disease"">hypertensive</span> animals when administered in greater than the allowed dosage.",yes_direct,yes_indirect,no_relation,,,,
770955398,"<span class=""chemical"">amphotericin B</span>","<span class=""disease"">hypokalemia</span>","Spironolactone: is it a novel drug for the prevention of <span class=""chemical"">amphotericin B</span>-related <span class=""disease"">hypokalemia</span> in cancer patients?",yes_direct,yes_indirect,no_relation,,,,
770955399,"<span class=""chemical"">benzylacyclouridine/BAU</span>","<span class=""disease"">leukopenia</span>","Because of the clinical toxicities associated with chronic Urd administration, the ability of <span class=""chemical"">benzylacyclouridine</span> (<span class=""chemical"">BAU</span>) to effect, in vivo, AZT-induced anemia and <span class=""disease"">leukopenia</span> was assessed.",yes_direct,yes_indirect,no_relation,,,,
770955400,"<span class=""chemical"">BHA</span>","<span class=""disease"">squamous cell papilloma</span>","In groups given 2% <span class=""chemical"">BHA</span>, although marked hyperplastic changes of the forestomach epithelium were observed in all animals, co-administration of 0.25% RA significantly (P less than 0.05) increased the incidence of forestomach tumors (<span class=""disease"">squamous cell papilloma</span> and carcinoma) to 60% (9/15, 2 rats with carcinoma) from 15% (3/20, one rat with carcinoma) in the group given RA-free water.",yes_direct,yes_indirect,no_relation,,,,
770955401,"<span class=""chemical"">TPP</span>","<span class=""disease"">Wernicke's encephalopathy</span>","We found that the above-mentioned patient and one of the diabetic kindreds with no history of <span class=""disease"">Wernicke's encephalopathy</span> had abnormal transketolase as determined by its Km for <span class=""chemical"">TPP</span>.",yes_direct,yes_indirect,no_relation,,,,
770955402,"<span class=""chemical"">diltiazem</span>","<span class=""disease"">overdose</span>","It should be considered early in cases of cardiac arrest after <span class=""chemical"">diltiazem</span> <span class=""disease"">overdose</span>.",yes_direct,yes_indirect,no_relation,,,,
770955403,"<span class=""chemical"">Reserpine</span>","<span class=""disease"">tremor</span>","<span class=""chemical"">Reserpine</span> also produced <span class=""disease"">tremor</span> and catalepsy, which are signs suggestive of Parkinson's disease.",yes_direct,yes_indirect,no_relation,,,,
770955404,"<span class=""chemical"">PREGS</span>","<span class=""disease"">amnesia</span>","The memory-enhancing effects of <span class=""chemical"">PREGS</span> and its analogs were tested in the passive avoidance task using the model of scopolamine-induced <span class=""disease"">amnesia</span>.",yes_direct,yes_indirect,no_relation,,,,
770955405,"<span class=""chemical"">benztropine</span>","<span class=""disease"">parkinsonism</span>","In a 12-week controlled study ethopropazine was compared to <span class=""chemical"">benztropine</span> in the treatment of <span class=""disease"">parkinsonism</span> induced by fluphenazine enanthate in 60 schizophrenic outpatients.",yes_direct,yes_indirect,no_relation,,,,
770955406,"<span class=""chemical"">epsilon-aminocaproic acid</span>","<span class=""disease"">cerebral sinus thrombosis</span>","Although increased risk of thromboembolic disease has been reported during treatment with <span class=""chemical"">epsilon-aminocaproic acid</span>, <span class=""disease"">cerebral sinus thrombosis</span> has not been previously described.",yes_direct,yes_indirect,no_relation,,,,
770955407,"<span class=""chemical"">piperacillin sodium</span>","<span class=""disease"">infections</span>","We prospectively compared the efficacy and safety of netilmicin sulfate or tobramycin sulfate in conjunction with <span class=""chemical"">piperacillin sodium</span> in 118 immunocompromised patients with presumed severe <span class=""disease"">infections</span>.",yes_direct,yes_indirect,no_relation,,,,
770955408,"<span class=""chemical"">ADR/adriamycin</span>","<span class=""disease"">cardiovascular toxicity</span>","The use of <span class=""chemical"">adriamycin</span> (<span class=""chemical"">ADR</span>) in cancer chemotherapy has been limited due to its cumulative <span class=""disease"">cardiovascular toxicity</span>.",yes_direct,yes_indirect,no_relation,,,,
770955409,"<span class=""chemical"">sulindac</span>","<span class=""disease"">renal papillary necrosis/RPN</span>","A 31-year-old man with rheumatoid arthritis, who had previously been treated with <span class=""chemical"">sulindac</span>, fenoprofen calcium, high dose salicylates and gold salts, developed <span class=""disease"">renal papillary necrosis</span> (<span class=""disease"">RPN</span>) 4 months after institution of naproxen therapy.",yes_direct,yes_indirect,no_relation,,,,
770955410,"<span class=""chemical"">pilocarpine</span>","<span class=""disease"">seizures</span>","Steroids with the 3-hydroxy group in the alpha-position and 5-H in the alpha- or beta-configurations were highly effective in protecting against <span class=""chemical"">pilocarpine</span> (416 mg/kg, s.c.)-induced limbic motor <span class=""disease"">seizures</span> and status epilepticus (ED50 values, 7.0-18.7 mg/kg, i.p.).",yes_direct,yes_indirect,no_relation,,,,
770955411,"<span class=""chemical"">paracetamol</span>","<span class=""disease"">viral hepatitis</span>","Acid protease (cathepsin D) activity was increased about tenfold in patients who died and nearly fourfold in those who survived fulminant hepatic failure after <span class=""chemical"">paracetamol</span> overdose, whereas activities were increased equally in patients with fulminant hepatic failure due to <span class=""disease"">viral hepatitis</span> whether or not they survived.",yes_direct,yes_indirect,no_relation,,,,
770955412,"<span class=""chemical"">NMDA/N-methyl-D-aspartate</span>","<span class=""disease"">schizophrenia</span>","The glutamatergic <span class=""chemical"">N-methyl-D-aspartate</span> (<span class=""chemical"">NMDA</span>) receptor has been implicated in the pathophysiology of <span class=""disease"">schizophrenia</span>.",yes_direct,yes_indirect,no_relation,,,,
770955413,"<span class=""chemical"">D-penicillamine</span>","<span class=""disease"">primary biliary cirrhosis</span>","A case of polymyositis in a patient with <span class=""disease"">primary biliary cirrhosis</span> treated with <span class=""chemical"">D-penicillamine</span>.",yes_direct,yes_indirect,no_relation,,,,
770955414,"<span class=""chemical"">puromycin aminonucleoside/PAN</span>","<span class=""disease"">Acute experimental models of renal damage</span>","<span class=""disease"">Acute experimental models of renal damage</span> to the proximal tubular, glomerular, and papillary regions of the rat were produced by administration of hexachloro-1:3-butadiene (HCBD), <span class=""chemical"">puromycin aminonucleoside</span> (<span class=""chemical"">PAN</span>), and 2-bromoethylamine (BEA), respectively.",yes_direct,yes_indirect,no_relation,,,,
770955415,"<span class=""chemical"">Tacrine</span>","<span class=""disease"">seizures</span>","<span class=""chemical"">Tacrine</span>, administered in LiCl pre-treated rats, induces electrocorticographic <span class=""disease"">seizures</span> and delayed hippocampal damage.",yes_direct,yes_indirect,no_relation,,,,
770955416,"<span class=""chemical"">sirolimus</span>","<span class=""disease"">psoriasis</span>","Activated peripheral blood T cells from patients with <span class=""disease"">psoriasis</span> tended to exhibit greater spontaneous or dexamethasone-induced apoptosis than did normal T cells, particularly in the presence of <span class=""chemical"">sirolimus</span>.",yes_direct,yes_indirect,no_relation,,,,
770955417,"<span class=""chemical"">everolimus</span>","<span class=""disease"">MDS/myelodysplastic syndrome</span>","We report on a combination of <span class=""chemical"">everolimus</span> and tacrolimus in 24 patients (median age, 62 years) with either <span class=""disease"">myelodysplastic syndrome</span> (<span class=""disease"">MDS</span>; n = 17) or acute myeloid leukemia (AML; n = 7) undergoing intensive conditioning followed by HSCT from related (n = 4) or unrelated (n = 20) donors.",yes_direct,yes_indirect,no_relation,,,,
770955418,"<span class=""chemical"">succinylcholine</span>","<span class=""disease"">myalgia</span>","In conclusion, there is no evidence for an inflammatory origin of <span class=""chemical"">succinylcholine</span>-associated <span class=""disease"">myalgia</span>.",yes_direct,yes_indirect,no_relation,,,,
770955419,"<span class=""chemical"">angiotensin</span>","<span class=""disease"">NS/nephrotic syndrome</span>","Plasma concentration and urine excretion of the renin-<span class=""chemical"">angiotensin</span> system proteins are altered in rats with <span class=""disease"">nephrotic syndrome</span> (<span class=""disease"">NS</span>).",yes_direct,yes_indirect,no_relation,,,,
